"region","valår",Valdeltagande i riksdagsval, procent
"0182 Nacka","2014",88.7
"0183 Sundbyberg","1973",90.6
"0183 Sundbyberg","1976",91.3
"0183 Sundbyberg","1979",89.8
"0183 Sundbyberg","1982",91.0
"0183 Sundbyberg","1985",89.1
"0183 Sundbyberg","1988",84.2
"0183 Sundbyberg","1991",85.2
"0183 Sundbyberg","1994",84.5
"0183 Sundbyberg","1998",79.2
"0183 Sundbyberg","2002",78.5
"0183 Sundbyberg","2006",80.4
"0183 Sundbyberg","2010",82.7
"0183 Sundbyberg","2014",84.1
"0184 Solna","1973",90.2
"0184 Solna","1976",91.6
"0184 Solna","1979",89.4
"0184 Solna","1982",90.3
"0184 Solna","1985",88.4
"0184 Solna","1988",83.5
"0184 Solna","1991",85.2
"0184 Solna","1994",84.5
"0184 Solna","1998",80.4
"0184 Solna","2002",80.2
"0184 Solna","2006",82.5
"0184 Solna","2010",84.1
"0184 Solna","2014",85.9
"0186 Lidingö","1973",93.3
"0186 Lidingö","1976",94.4
"0186 Lidingö","1979",92.9
"0186 Lidingö","1982",93.5
"0186 Lidingö","1985",92.7
"0186 Lidingö","1988",89.7
"0186 Lidingö","1991",90.7
"0186 Lidingö","1994",90.5
"0186 Lidingö","1998",86.5
"0186 Lidingö","2002",85.9
"0186 Lidingö","2006",87.4
"0186 Lidingö","2010",88.9
"0186 Lidingö","2014",88.9
"0187 Vaxholm","1973",92.4
"0187 Vaxholm","1976",93.5
"0187 Vaxholm","1979",91.9
"0187 Vaxholm","1982",91.9
"0187 Vaxholm","1985",91.0
"0187 Vaxholm","1988",88.9
"0187 Vaxholm","1991",90.7
"0187 Vaxholm","1994",89.8
"0187 Vaxholm","1998",85.8
"0187 Vaxholm","2002",85.5
"0187 Vaxholm","2006",88.2
"0187 Vaxholm","2010",89.7
"0187 Vaxholm","2014",90.6
"0188 Norrtälje","1973",89.8
"0188 Norrtälje","1976",90.9
"0188 Norrtälje","1979",89.6
"0188 Norrtälje","1982",90.5
"0188 Norrtälje","1985",89.0
"0188 Norrtälje","1988",85.0
"0188 Norrtälje","1991",86.0
"0188 Norrtälje","1994",85.8
"0188 Norrtälje","1998",79.9
"0188 Norrtälje","2002",78.6
"0188 Norrtälje","2006",80.8
"0188 Norrtälje","2010",83.2
"0188 Norrtälje","2014",85.4
"0191 Sigtuna","1973",91.0
"0191 Sigtuna","1976",91.5
"0191 Sigtuna","1979",89.8
"0191 Sigtuna","1982",91.1
"0191 Sigtuna","1985",89.0
"0191 Sigtuna","1988",84.5
"0191 Sigtuna","1991",85.1
"0191 Sigtuna","1994",85.7
"0191 Sigtuna","1998",78.9
"0191 Sigtuna","2002",77.3
"0191 Sigtuna","2006",79.8
"0191 Sigtuna","2010",82.2
"0191 Sigtuna","2014",82.5
"0192 Nynäshamn","1973",92.1
"0192 Nynäshamn","1976",93.2
"0192 Nynäshamn","1979",92.1
"0192 Nynäshamn","1982",93.2
"0192 Nynäshamn","1985",91.6
"0192 Nynäshamn","1988",87.1
"0192 Nynäshamn","1991",87.8
"0192 Nynäshamn","1994",87.2
"0192 Nynäshamn","1998",81.4
"0192 Nynäshamn","2002",79.9
"0192 Nynäshamn","2006",81.7
"0192 Nynäshamn","2010",84.0
"0192 Nynäshamn","2014",85.1
"0305 Håbo","1973",92.8
"0305 Håbo","1976",92.7
"0305 Håbo","1979",92.8
"0305 Håbo","1982",93.4
"0305 Håbo","1985",91.2
"0305 Håbo","1988",86.9
"0305 Håbo","1991",88.1
"0305 Håbo","1994",87.7
"0305 Håbo","1998",81.4
"0305 Håbo","2002",80.9
"0305 Håbo","2006",83.5
"0305 Håbo","2010",86.1
"0305 Håbo","2014",87.6
"0319 Älvkarleby","1973",92.8
"0319 Älvkarleby","1976",94.0
"0319 Älvkarleby","1979",92.9
"0319 Älvkarleby","1982",93.4
"0319 Älvkarleby","1985",92.1
"0319 Älvkarleby","1988",88.4
"0319 Älvkarleby","1991",88.1
"0319 Älvkarleby","1994",88.7
"0319 Älvkarleby","1998",81.7
"0319 Älvkarleby","2002",79.5
"0319 Älvkarleby","2006",82.5
"0319 Älvkarleby","2010",84.8
"0319 Älvkarleby","2014",86.7
"0330 Knivsta","1973",..
"0330 Knivsta","1976",..
"0330 Knivsta","1979",..
"0330 Knivsta","1982",..
"0330 Knivsta","1985",..
"0330 Knivsta","1988",..
"0330 Knivsta","1991",..
"0330 Knivsta","1994",..
"0330 Knivsta","1998",..
"0330 Knivsta","2002",82.9
"0330 Knivsta","2006",85.9
"0330 Knivsta","2010",88.3
"0330 Knivsta","2014",89.0
"0331 Heby","1973",89.4
"0331 Heby","1976",90.5
"0331 Heby","1979",90.2
"0331 Heby","1982",91.0
"0331 Heby","1985",89.6
"0331 Heby","1988",85.2
"0331 Heby","1991",85.4
"0331 Heby","1994",86.1
"0331 Heby","1998",82.3
"0331 Heby","2002",78.7
"0331 Heby","2006",79.6
"0331 Heby","2010",81.7
"0331 Heby","2014",85.0
"0360 Tierp","1973",92.4
"0360 Tierp","1976",92.9
"0360 Tierp","1979",92.2
"0360 Tierp","1982",92.3
"0360 Tierp","1985",90.6
"0360 Tierp","1988",87.7
"0360 Tierp","1991",87.3
"0360 Tierp","1994",87.9
"0360 Tierp","1998",81.3
"0360 Tierp","2002",78.9
"0360 Tierp","2006",79.8
"0360 Tierp","2010",84.0
"0360 Tierp","2014",85.6
"0380 Uppsala","1973",90.0
"0380 Uppsala","1976",91.0
"0380 Uppsala","1979",90.5
"0380 Uppsala","1982",91.8
"0380 Uppsala","1985",90.3
"0380 Uppsala","1988",86.5
"0380 Uppsala","1991",87.2
"0380 Uppsala","1994",88.1
"0380 Uppsala","1998",82.3
"0380 Uppsala","2002",81.7
"0380 Uppsala","2006",84.0
"0380 Uppsala","2010",86.6
"0380 Uppsala","2014",88.2
"0381 Enköping","1973",89.5
"0381 Enköping","1976",90.7
"0381 Enköping","1979",89.7
"0381 Enköping","1982",90.7
"0381 Enköping","1985",89.2
"0381 Enköping","1988",84.5
"0381 Enköping","1991",85.8
"0381 Enköping","1994",84.4
"0381 Enköping","1998",81.6
"0381 Enköping","2002",79.2
"0381 Enköping","2006",81.2
"0381 Enköping","2010",84.3
"0381 Enköping","2014",86.0
"0382 Östhammar","1973",89.9
"0382 Östhammar","1976",90.8
"0382 Östhammar","1979",90.1
"0382 Östhammar","1982",90.3
"0382 Östhammar","1985",88.8
"0382 Östhammar","1988",84.5
"0382 Östhammar","1991",85.5
"0382 Östhammar","1994",85.5
"0382 Östhammar","1998",80.0
"0382 Östhammar","2002",78.2
"0382 Östhammar","2006",79.4
"0382 Östhammar","2010",83.1
"0382 Östhammar","2014",85.2
"0428 Vingåker","1973",92.6
"0428 Vingåker","1976",93.5
"0428 Vingåker","1979",92.6
"0428 Vingåker","1982",93.5
"0428 Vingåker","1985",91.5
