year,municipality,value
1976,1231,0.0
1976,1233,0.0
1976,1256,0.0
1976,1257,0.0
1976,1260,0.0
1976,1261,0.0
1976,1262,0.0
1976,1263,0.0
1976,1264,0.0
1976,1265,0.0
1976,1266,0.0
1976,1267,0.0
1976,1270,0.0
1976,1272,0.012050055278324326
1976,1273,0.0
1976,1275,0.0
1976,1276,0.0
1976,1277,0.0
1976,1278,0.0
1976,1280,0.0
1976,1281,0.0
1976,1282,0.0
1976,1283,0.0
1976,1284,1.0374204930164914
1976,1285,0.0
1976,1286,0.0
1976,1287,0.054424300852307296
1976,1290,0.0
1976,1291,0.10090442005893235
1976,1292,0.0
1976,1293,0.31448338944765986
1976,1315,0.1617717426630803
1976,1380,0.03606776975413029
1976,1381,0.10762916154550538
1976,1382,0.0
1976,1383,0.035998993726549175
1976,1384,0.0
1976,1401,0.0
1976,1402,0.0
1976,1407,0.0
1976,1415,0.0
1976,1419,0.0
1976,1421,0.0
1976,1427,0.0
1976,1430,0.0
1976,1435,0.0
1976,1438,0.0
1976,1439,0.0
1976,1440,0.0
1976,1441,0.0
1976,1442,0.0
1976,1443,0.0
1976,1444,0.0
1976,1445,0.0
1976,1446,0.0
1976,1447,0.0
1976,1452,0.06670703393273839
1976,1460,0.0
1976,1461,0.0
1976,1462,0.0
1976,1463,0.06397316788953934
1976,1465,0.0
1976,1466,0.12865304210799478
1976,1470,0.0
1976,1471,0.0
1976,1472,0.0
1976,1473,0.0
1976,1480,0.0
1976,1481,0.0
1976,1482,0.0
1976,1484,0.0
1976,1485,0.0
1976,1486,0.0
1976,1487,0.0
1976,1488,0.0
1976,1489,0.017984587143985077
1976,1490,0.0
1976,1491,0.005309308349305076
1976,1492,0.0
1976,1493,0.0
1976,1494,0.0
1976,1495,0.008200952796804595
1976,1496,0.0
1976,1497,0.03546682614279203
1976,1498,0.30461318906414114
1976,1499,0.12863735559004785
1976,1715,0.0
1976,1730,0.0
1976,1737,0.0
1976,1760,0.0
1976,1761,0.0
1976,1762,0.0
1976,1763,0.0
1976,1764,0.0
1976,1765,0.0
1976,1766,0.0
1976,1780,0.0
1976,1781,0.0
1976,1782,0.0
1976,1783,0.0
1976,1784,0.0
1976,1785,0.0
1976,1814,0.0
1976,1860,0.0
1976,1861,0.0
1976,1862,0.0
1976,1863,0.0
1976,1864,0.0
1976,1880,0.0
1976,1881,0.0
1976,1882,0.0
1976,1883,0.0
1976,1884,0.0
1976,1885,0.0
1976,1904,0.0
1976,1907,0.0
1976,1960,0.0
1976,1961,0.0
1976,1962,0.0
1976,1980,0.0
1976,1981,0.0
1976,1982,0.0
1976,1983,0.0
1976,1984,0.0
1976,2021,0.0
1976,2023,0.0
1976,2026,0.0
1976,2029,0.0
1976,2031,0.0
1976,2034,0.0
1976,2039,0.0
1976,2061,0.0
1976,2062,0.0
1976,2080,0.0
1976,2081,0.5530058086767817
1976,2082,0.18777118624126787
1976,2083,0.0
1976,2084,0.0
1976,2085,0.0
1976,2101,0.0
1976,2104,0.00011489857204030064
1976,2121,0.0066548052021294215
1976,2132,0.0366319637923555
1976,2161,0.014353460393046663
1976,2180,0.0
1976,2181,0.01864975585628763
1976,2182,0.0
1976,2183,0.0
1976,2184,0.056796330507198546
1976,2260,0.0
1976,2262,0.0
1976,2280,0.0
1976,2281,0.0
1976,2282,0.0
1976,2283,0.10216465433874507
1976,2284,0.0
1976,2303,0.0
1976,2305,0.011307496210051738
1976,2309,0.0
1976,2313,0.0
1976,2321,0.01734591808983852
1976,2326,0.10297652304592025
1976,2361,0.22608643218137517
1976,2380,0.0
1976,2401,0.0
1976,2403,0.0
1976,2404,0.0
1976,2409,0.031091447909819225
1976,2417,0.0
1976,2418,0.0
1976,2421,0.0
1976,2422,0.0
1976,2425,0.0
1976,2460,0.0
1976,2462,0.0
1976,2463,0.0
1976,2480,0.0891341804636749
1976,2481,0.0
1976,2482,0.0
1976,2505,0.0
1976,2506,0.0
1976,2510,0.0
1976,2513,0.0
1976,2514,0.0
1976,2518,0.0
1976,2521,0.0
1976,2523,0.0
1976,2560,0.0
1976,2580,0.04181324862553893
1976,2581,0.0
1976,2582,0.0
1976,2583,0.0
1976,2584,0.0
1979,0114,0.511486645422817
1979,0115,0.6008059406255153
1979,0117,0.8244882435673964
1979,0120,0.42414671052154695
1979,0123,0.36143006152077856
1979,0125,0.07269550254143342
1979,0126,0.3890838366599191
1979,0127,0.7456463871110968
1979,0128,0.20847184738473143
1979,0136,0.4828141348623097
1979,0138,0.21440475531705788
1979,0139,0.510236319838732
1979,0140,0.0
1979,0160,0.29999999999999993
1979,0162,0.3
1979,0163,0.41011252275013393
1979,0180,0.3
1979,0181,0.021784313455699193
1979,0182,0.24228063167582622
1979,0183,0.30748099062872225
1979,0184,0.30000000000000004
1979,0186,0.2863263447716353
1979,0187,0.4070441598254896
1979,0188,0.4326824898832822
1979,0191,0.8604528222910334
1979,0192,0.27809833043892085
1979,0305,0.5389974096753719
1979,0319,1.246857430219217
1979,0330,1.3462513392542124
1979,0331,0.1873093933687569
1979,0360,0.8598618323409266
1979,0380,0.6286719981621165
1979,0381,0.09925151581921893
1979,0382,0.8243351837915615
1979,0428,0.722404146469755
1979,0461,0.47832144762196027
1979,0480,0.10307104319862233
1979,0481,0.0643546250576981
1979,0482,0.488650974752241
1979,0483,1.3476226924379855
1979,0484,0.665394461564345
1979,0486,0.2532183707356384
1979,0488,0.08531376461964847
1979,0509,0.6820663919094226
1979,0512,1.0272499860262343
1979,0513,1.4318297149952512
1979,0560,1.3677418896890472
1979,0561,0.7838810806887949
1979,0562,1.0313807226484208
1979,0563,1.0892489785338895
1979,0580,1.6334789117594903
1979,0581,0.6150761082837268
1979,0582,0.8185968628745592
1979,0583,2.1090647305147474
1979,0584,1.1787601219036765
1979,0586,1.5462776572633357
1979,0604,1.5691269357039774
1979,0617,5.279605190296988
1979,0642,1.771252124330465
1979,0643,1.4639321738264728
1979,0662,6.882752970735826
1979,0665,5.419148052602403
1979,0680,1.5282082778032817
1979,0682,3.2004041923189996
1979,0683,3.389861808258885
1979,0684,5.954170944421877
1979,0685,3.2915058036563893
1979,0686,1.9795689001101617
1979,0687,0.9448796683272734
1979,0760,3.7375819169710356
1979,0761,3.993837961909396
1979,0763,3.4935536810068717
1979,0764,3.7664559698496625
1979,0765,2.761652352624214
1979,0767,6.461694506274131
1979,0780,3.2950434593383555
1979,0781,5.08458361263449
1979,0821,1.8783573958145872
1979,0834,3.902214787550999
1979,0840,4.295776911203436
1979,0860,1.115907533755057
1979,0861,1.6339380787978763
1979,0862,4.03532877653758
1979,0880,2.1321137169497746
1979,0881,2.205591328002921
1979,0882,1.3266070592818433
1979,0883,0.984069258330714
1979,0884,1.051990975191426
1979,0885,1.419804435125362
1979,0980,1.043692832766881
1979,1060,1.9321791536800998
1979,1080,3.278483175016567
1979,1081,2.211583858362309
1979,1082,2.42308336381491
1979,1083,2.2345664228586446
1979,1214,1.993872732751328
1979,1230,1.4362353700276127
1979,1231,1.4885971954581274
1979,1233,1.2182643400403845
